section,celltype,module,design,basis,n,beta,se_iid,se_blk,se_ratio,ci_iid_lo,ci_iid_hi,ci_blk_lo,ci_blk_hi
7259_liver_sbr_Male_26-U1,Endothelial,oxidative_stress,ctrl,nearest,12292,-0.0031791092498253447,0.0043251507102051254,0.00445303893197505,1.0295685006925133,-0.011656404641827392,0.005298186142176702,-0.01216035396685446,0.004844287025916916
7259_liver_sbr_Male_26-U1,Endothelial,oxidative_stress,ctrl,superposition,12292,-0.0030612927780958887,0.0031529554045862888,0.0032168317080604335,1.0202591839330268,-0.009241085371085015,0.003118499814893237,-0.009280965137381763,0.0035681389008847355
7259_liver_sbr_Male_26-U1,Endothelial,oxidative_stress,naive,nearest,12292,-0.046541565626929245,0.004682614355604812,0.004802924588615488,1.0256929620665156,-0.05571948976391468,-0.03736364148994381,-0.05575639322134225,-0.037471008639108065
7259_liver_sbr_Male_26-U1,Endothelial,oxidative_stress,naive,superposition,12292,-0.034636453254157304,0.0033739071649937563,0.0033988493320644747,1.0073926654916614,-0.04124931129754507,-0.028023595210769543,-0.04125622195499301,-0.028082460694302605
7259_liver_sbr_Male_26-U1,Endothelial,secondary_senescence,ctrl,nearest,12292,0.0009310148245103838,0.0020905431042841593,0.002506031637602987,1.198746695280937,-0.003166449659886568,0.005028479308907335,-0.003563672616007884,0.005981732189145862
7259_liver_sbr_Male_26-U1,Endothelial,secondary_senescence,ctrl,superposition,12292,0.00010704206337764964,0.00016619854614628198,0.00019988014554018477,1.2026588088457613,-0.000218707087069063,0.0004327912138243623,-0.0002445804431584322,0.0005162827996788488
7259_liver_sbr_Male_26-U1,Endothelial,secondary_senescence,naive,nearest,12292,0.0037511832900996474,0.001322482231867361,0.0013421202176985528,1.0148493381294528,0.0011591181156396196,0.006343248464559675,0.00097953478098644,0.006241639983035232
7259_liver_sbr_Male_26-U1,Endothelial,secondary_senescence,naive,superposition,12292,0.0008592233422480066,0.00040857195098178615,0.00047172306469087994,1.154565465292817,5.842231832370575e-05,0.0016600243661723075,-4.999369149759409e-05,0.0017907940527472368
7259_liver_sbr_Male_26-U1,Endothelial,tnfa_nfkb_proximal,ctrl,nearest,12292,-0.002760266887431653,0.0012498406967133993,0.0012704069875284052,1.0164551297370035,-0.005209954652989915,-0.00031057912187339035,-0.0051080241055345005,-0.0003730344196740343
7259_liver_sbr_Male_26-U1,Endothelial,tnfa_nfkb_proximal,ctrl,superposition,12292,-0.0006632230980258803,0.00036679306751406793,0.00037830513513384433,1.031385728464824,-0.0013821375103534534,5.569131430169282e-05,-0.001436553206517436,6.750280074998427e-05
