section,arm,caller,within_type_depth_quintile,bg_pct,enrichment
7450_liver_sbr_Male_10-U1,SBR,senepy_score,Q3,20.0,0.723
7450_liver_sbr_Male_10-U1,SBR,senepy_score,Q4,19.98,1.205
7450_liver_sbr_Male_10-U1,SBR,senepy_score,Q5,19.98,2.595
7450_liver_sbr_Male_10-U1,SBR,deepscence_score,Q1,20.06,1.174
7450_liver_sbr_Male_10-U1,SBR,deepscence_score,Q2,19.98,1.052
7450_liver_sbr_Male_10-U1,SBR,deepscence_score,Q3,20.0,0.966
7450_liver_sbr_Male_10-U1,SBR,deepscence_score,Q4,19.98,0.873
7450_liver_sbr_Male_10-U1,SBR,deepscence_score,Q5,19.98,0.933
7450_liver_sbr_Male_10-U1,SBR,cdkn1a_counts,Q1,20.06,0.113
7450_liver_sbr_Male_10-U1,SBR,cdkn1a_counts,Q2,19.98,0.247
7450_liver_sbr_Male_10-U1,SBR,cdkn1a_counts,Q3,20.0,0.508
7450_liver_sbr_Male_10-U1,SBR,cdkn1a_counts,Q4,19.98,1.002
7450_liver_sbr_Male_10-U1,SBR,cdkn1a_counts,Q5,19.98,3.135
