section,arm,band,n_cells,weights,mean_neighbours,islands,centring,field,kind,moran_I,E_I,z_rand,p_rand,z_norm,p_norm,p_sim,mean,sd,frac_nonzero
7001_liver_sham_Male_52-U1,sham,in_band,165961,band100um,111.59092798910588,26,raw,interferon_response,module,0.05083768985432939,-6.025548324897566e-06,149.2253729053945,0.0,149.22362822498266,0.0,,0.009505945790735073,0.03988497722754621,0.5081977091003308
7001_liver_sham_Male_52-U1,sham,in_band,165961,band100um,111.59092798910588,26,raw,oxidative_stress,module,0.052144417894398734,-6.025548324897566e-06,153.05883300286973,0.0,153.05880623465833,0.0,,0.10207723243392011,0.06809037017630923,0.9224094817457114
7001_liver_sham_Male_52-U1,sham,in_band,165961,band100um,111.59092798910588,26,raw,secondary_senescence,module,0.05957598381828721,-6.025548324897566e-06,174.87026088944492,0.0,174.87006101360964,0.0,,0.026733139290237594,0.03277234235958203,0.7813160923349461
7001_liver_sham_Male_52-U1,sham,in_band,165961,band100um,111.59092798910588,26,raw,tnfa_nfkb_proximal,module,0.058188320912422015,-6.025548324897566e-06,170.80051835748455,0.0,170.79734343334374,0.0,,-0.003285381986592463,0.03213697796005084,0.37218985183265946
7001_liver_sham_Male_52-U1,sham,in_band,165961,band100um,111.59092798910588,26,raw,transcript_counts,technical,0.14756432891734458,-6.025548324897566e-06,433.12188840995856,0.0,433.1112220540903,0.0,,1051.3120793439423,809.2155961951876,1.0
7001_liver_sham_Male_52-U1,sham,in_band,165961,band100um,111.59092798910588,26,raw,cell_area,technical,0.05903712797866549,-6.025548324897566e-06,173.28948930233662,0.0,173.28854749041867,0.0,,148.21898707243906,106.21033722536785,1.0
7001_liver_sham_Male_52-U1,sham,in_band,165961,band100um,111.59092798910588,26,raw,density_50um,technical,0.6465113384134049,-6.025548324897566e-06,1897.5160909862575,0.0,1897.4944296809686,0.0,,29.229746747729887,11.328645900206258,0.9998071836154278
7001_liver_sham_Male_52-U1,sham,in_band,165961,band100um,111.59092798910588,26,raw,unassigned_codeword,technical,0.2267858879799254,-6.025548324897566e-06,665.6737498141622,0.0,665.6223275729627,0.0,,0.5156211399063635,1.0456346228677673,0.3144533956772977
7001_liver_sham_Male_52-U1,sham,in_band,165961,band100um,111.59092798910588,26,ctcentred,neg_control_probe,control,0.005257432564424761,-6.025548324897566e-06,15.454702949872663,7.013415796400307e-54,15.447972485380573,7.785410653477943e-54,,5.3517297419280745e-19,0.08818203120372711,0.007501762462265231
7001_liver_sham_Male_52-U1,sham,in_band,165961,band100um,111.59092798910588,26,ctcentred,neg_control_codeword,control,0.04162347165848343,-6.025548324897566e-06,122.19276781786273,0.0,122.18038286905796,0.0,,0.0,0.226740574020212,0.04340778857683432
