gene_name,gene_id,feature_type
CAD,ENSG00000084774,Gene Expression
CADM3,ENSG00000162706,Gene Expression
CADM4,ENSG00000105767,Gene Expression
CALB1,ENSG00000104327,Gene Expression
CALB2,ENSG00000172137,Gene Expression
CALCA,ENSG00000110680,Gene Expression
CALCB,ENSG00000175868,Gene Expression
CALCR,ENSG00000004948,Gene Expression
CALCRL,ENSG00000064989,Gene Expression
CALM3,ENSG00000160014,Gene Expression
CALML3,ENSG00000178363,Gene Expression
CALR3,ENSG00000269058,Gene Expression
CAMK1,ENSG00000134072,Gene Expression
CAMK2A,ENSG00000070808,Gene Expression
CAMK2B,ENSG00000058404,Gene Expression
CAMK2D,ENSG00000145349,Gene Expression
CAMK2G,ENSG00000148660,Gene Expression
CAMKV,ENSG00000164076,Gene Expression
CAMP,ENSG00000164047,Gene Expression
CAMSAP2,ENSG00000118200,Gene Expression
CAND1,ENSG00000111530,Gene Expression
CANX,ENSG00000127022,Gene Expression
CAPN1,ENSG00000014216,Gene Expression
CAPN3,ENSG00000092529,Gene Expression
CAPN6,ENSG00000077274,Gene Expression
CARD10,ENSG00000100065,Gene Expression
CARD11,ENSG00000198286,Gene Expression
CARD14,ENSG00000141527,Gene Expression
CARD8,ENSG00000105483,Gene Expression
CARD9,ENSG00000187796,Gene Expression
CARF,ENSG00000138380,Gene Expression
CARM1,ENSG00000142453,Gene Expression
CARTPT,ENSG00000164326,Gene Expression
CASC8,ENSG00000246228,Gene Expression
CASK,ENSG00000147044,Gene Expression
CASP1,ENSG00000137752,Gene Expression
CASP10,ENSG00000003400,Gene Expression
CASP2,ENSG00000106144,Gene Expression
CASP3,ENSG00000164305,Gene Expression
CASP6,ENSG00000138794,Gene Expression
CASP7,ENSG00000165806,Gene Expression
CASP8,ENSG00000064012,Gene Expression
CASP8AP2,ENSG00000118412,Gene Expression
CASP9,ENSG00000132906,Gene Expression
CASQ2,ENSG00000118729,Gene Expression
CASR,ENSG00000036828,Gene Expression
CASS4,ENSG00000087589,Gene Expression
CASZ1,ENSG00000130940,Gene Expression
CAT,ENSG00000121691,Gene Expression
CATSPER2,ENSG00000166762,Gene Expression
CAV1,ENSG00000105974,Gene Expression
CAV2,ENSG00000105971,Gene Expression
CAVIN2,ENSG00000168497,Gene Expression
CAVIN3,ENSG00000170955,Gene Expression
CBARP,ENSG00000099625,Gene Expression
CBFB,ENSG00000067955,Gene Expression
CBL,ENSG00000110395,Gene Expression
CBLB,ENSG00000114423,Gene Expression
CBLIF,ENSG00000134812,Gene Expression
CBLN1,ENSG00000102924,Gene Expression
CBLN3,ENSG00000139899,Gene Expression
CBLN4,ENSG00000054803,Gene Expression
CBR1,ENSG00000159228,Gene Expression
CBS,ENSG00000160200,Gene Expression
CBSL,ENSG00000274276,Gene Expression
CBWD2,ENSG00000136682,Gene Expression
CBX1,ENSG00000108468,Gene Expression
CBX3,ENSG00000122565,Gene Expression
CBX5,ENSG00000094916,Gene Expression
CBX7,ENSG00000100307,Gene Expression
CC2D1A,ENSG00000132024,Gene Expression
CCAR2,ENSG00000158941,Gene Expression
CCAT2,ENSG00000280997,Gene Expression
CCBE1,ENSG00000183287,Gene Expression
CCDC102B,ENSG00000150636,Gene Expression
CCDC103,ENSG00000167131,Gene Expression
CCDC113,ENSG00000103021,Gene Expression
CCDC124,ENSG00000007080,Gene Expression
CCDC136,ENSG00000128596,Gene Expression
CCDC137,ENSG00000185298,Gene Expression
CCDC14,ENSG00000175455,Gene Expression
CCDC141,ENSG00000163492,Gene Expression
CCDC170,ENSG00000120262,Gene Expression
CCDC27,ENSG00000162592,Gene Expression
CCDC33,ENSG00000140481,Gene Expression
CCDC43,ENSG00000180329,Gene Expression
CCDC50,ENSG00000152492,Gene Expression
