panel,section,celltype,module,series,bin_lo,bin_hi,n,value,lo,hi,sem
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,65.0,70.0,,-0.0070177770174378,-0.008183734410813,-0.0059504360116733,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,70.0,75.0,,-0.007044515506515,-0.0082539095903215,-0.0058825270679331,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,75.0,80.0,,-0.0070466695943655,-0.0083754494009079,-0.005647107559527,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,80.0,85.0,,-0.0070848565927468,-0.0085440178950107,-0.0055030110887591,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,85.0,90.0,,-0.007096755908412,-0.0089117679133768,-0.0054241424360862,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,90.0,95.0,,-0.0070909810655418,-0.0091199256514691,-0.0050776600642058,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,95.0,100.0,,-0.007143372590731,-0.0087342923896153,-0.0060339026746117,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,0.0,5.0,,-0.0072191050781903,-0.0080955316070933,-0.006317311496692,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,5.0,10.0,,-0.0072728263084971,-0.0090441966538329,-0.00541444790804,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,10.0,15.0,,-0.006908847979291,-0.0077571056953277,-0.0059933366757766,
