true_family,true_superposition,regime,rep,n,true_d_half,fit_family,fit_mode,lam,d_half,aic,beta,rss,k_params
exponential,False,clean,10,11211,20.8,powerlaw,nearest,43.283679743759386,64.8,1379.4226932061392,2.3739035882838477,12660.794420392507,7
exponential,False,clean,10,11211,20.8,step,nearest,38.92103695602845,39.0,1492.2137337404642,0.36458367664837915,12791.096064631203,6
exponential,False,clean,10,11211,20.8,spline,nearest,,,1383.86197526883,,12656.773872769963,11
exponential,False,clean,10,11211,20.8,exponential,superposition,16.563928731234586,,1512.2631165431353,0.7882459780446771,12813.991705947112,6
exponential,False,clean,11,11286,20.8,exponential,nearest,50.39713270778517,35.0,1771.1915249513809,1.2258256513978705,13187.370519092734,6
exponential,False,clean,11,11286,20.8,gaussian,nearest,31.74608614827053,37.4,1779.403174845411,0.7458491818321219,13196.969090331419,6
exponential,False,clean,11,11286,20.8,powerlaw,nearest,205.08406405274397,38.6,1773.2020327544265,1.354989112634023,13187.382797167927,7
exponential,False,clean,11,11286,20.8,step,nearest,33.321614053498976,33.4,1889.2208300202178,0.38508874813862615,13326.008084677585,6
exponential,False,clean,11,11286,20.8,spline,nearest,,,1778.9736390088158,,13184.779236971925,11
exponential,False,clean,11,11286,20.8,exponential,superposition,17.901628468571026,,1869.703455844369,0.7915378697808093,13302.98275025775,6
exponential,False,clean,12,11321,20.8,exponential,nearest,46.94796912316764,32.6,2141.9947930952508,1.2307719140036713,13662.135971991838,6
exponential,False,clean,12,11321,20.8,gaussian,nearest,29.39586229087335,34.800000000000004,2150.113725311857,0.7512851225810114,13671.937379960955,6
exponential,False,clean,12,11321,20.8,powerlaw,nearest,28.44163210812524,48.400000000000006,2143.0943913128926,2.2723503676308314,13661.049414054893,7
exponential,False,clean,12,11321,20.8,step,nearest,28.527759021034033,28.6,2272.225303016369,0.40046429764117325,13820.205039061053,6
exponential,False,clean,12,11321,20.8,spline,nearest,,232.8,2146.0428329940473,,13654.955058991563,11
exponential,False,clean,12,11321,20.8,exponential,superposition,15.32618864787106,,2240.9687981441234,0.9948472328023807,13782.101025901407,6
exponential,False,clean,13,11296,20.8,exponential,nearest,45.11524285245573,31.400000000000002,1683.7449088257933,1.1437216973521047,13095.465714932854,6
exponential,False,clean,13,11296,20.8,gaussian,nearest,30.05337349811556,35.4,1697.9298336277973,0.6932553827009628,13111.920643930132,6
