gene,corr_zonation,detection_rate
Bach2,0.008449815,0.028281378611679786
Bad,-0.0053664874,0.08532956248285177
Bag2,-0.018884905,0.0037427098063218026
Baiap2,-0.018061778,0.1587204434970417
Bak1,-0.014668981,0.015463301041908501
Banp,0.01016706,0.08195971662340037
Bap1,0.004954397,0.07614163201846029
Bard1,-0.0018015984,0.0017236163581745144
Barhl1,-0.00052720984,0.00048542664781241424
Barhl2,-0.0006089723,0.000358793609252654
Barx1,-0.00046111588,0.00039396945329703184
Batf,-0.011569607,0.005571853696629451
Batf3,-0.016114306,0.006718586212476168
Bax,0.015081352,0.09824613241594732
Baz1a,-0.022393761,0.057195922416158375
Baz1b,-0.0012090328,0.14111141596842616
Bbc3,0.011091009,0.011790942923675454
Bbox1,-0.008586025,0.3324257965569884
Bbs1,-0.00023130105,0.0022582891876490574
Bbs2,-0.0030164474,0.008315569532090922
Bbs4,0.0038051044,0.004108538584383333
Bbs5,0.0017556453,0.0032432128208916373
Bbs7,0.00016993735,0.008203006831148914
Bbs9,-0.009837045,0.020416059883356902
Bcam,-0.00294887,0.011333656951098541
Bcar1,0.01611463,0.10587929057357731
Bcl10,-0.008750088,0.04666427470927165
Bcl11a,-0.0024768913,0.0018643197343520257
Bcl11b,-0.001987966,0.0006120596863721745
Bcl2,-0.004962158,0.005135673230479166
Bcl2a1a,-0.0155807035,0.005234165593803423
Bcl2l1,0.028485397,0.10765215311341396
Bcl2l11,0.0075828866,0.031946701561103956
Bcl2l12,-0.008466385,0.019353749393216692
Bcl2l2,-0.0013789943,0.1008421097064224
Bcl3,-0.0021265564,0.08138986794988146
Bcl6,0.045333445,0.1655164165664155
Bcl7a,0.016519416,0.04193664126970727
Bcl7b,-0.00093853404,0.1263305263009786
Bcl7c,-0.009915786,0.0676150074221031
Bclaf1,0.0028775018,0.08530142180761627
Bco1,-0.02958836,0.013331644892819202
Bcor,-0.004510743,0.03760297728343991
Bcr,0.0066253976,0.1262390691064632
Bdh1,0.04090358,0.5420597567238626
Bdkrb1,-0.0036289063,0.00021809023307514265
Bdkrb2,-0.00707863,0.00044321563495916083
Bdnf,-0.024400288,0.013992950760853507
Becn1,0.008356395,0.1441576440626693
Bex3,-0.00025451806,0.008815066517521088
Bfsp1,-0.0010848201,0.0004010046221059074
Bglap,0.0012397355,0.005311552450701054
Bglap2,0.0040248604,0.005726627410424713
Bhlha15,-0.0097479485,0.0021668319931336753
Bhlhe22,-0.007283583,0.001139697347037842
