section,label_set,cell_type,call,n_all,n_senders_all,n_nonsenders_all,prevalence_pct_all,n_scored,n_senders_scored,n_nonsenders_scored,prevalence_pct_scored,pass_band,pass_senders,pass_nonsenders,passes_A3
SPLN43,merged,Stromal,tierA_p90,28755,2877,25878,10.005,28755,2877,25878,10.005,True,True,True,True
SPLN43,merged,T/NK cells,tierA_p90,24815,0,24815,0.0,24815,0,24815,0.0,False,False,True,False
SPLN43,merged,B cells,senepy_p90,45873,4587,41286,9.999,45873,4587,41286,9.999,True,True,True,True
SPLN43,merged,Endothelial,senepy_p90,56471,5647,50824,10.0,56471,5647,50824,10.0,True,True,True,True
SPLN43,merged,Mono/Mac/DC,senepy_p90,39078,2545,36533,6.513,25453,2545,22908,9.999,True,True,True,True
SPLN43,merged,Neutrophils,senepy_p90,2688,269,2419,10.007,2688,269,2419,10.007,True,True,False,False
SPLN43,merged,Plasma cells,senepy_p90,9861,984,8877,9.979,9861,984,8877,9.979,True,True,True,True
SPLN43,merged,Stromal,senepy_p90,28755,2877,25878,10.005,28755,2877,25878,10.005,True,True,True,True
SPLN43,merged,T/NK cells,senepy_p90,24815,0,24815,0.0,0,0,0,,False,False,False,False
SPLN43,merged,B cells,tierA_p95,45873,2294,43579,5.001,45873,2294,43579,5.001,True,True,True,True
SPLN43,merged,Endothelial,tierA_p95,56471,2823,53648,4.999,56471,2823,53648,4.999,True,True,True,True
SPLN43,merged,Mono/Mac/DC,tierA_p95,39078,1954,37124,5.0,39078,1954,37124,5.0,True,True,True,True
SPLN43,merged,Neutrophils,tierA_p95,2688,135,2553,5.022,2688,135,2553,5.022,True,False,False,False
SPLN43,merged,Plasma cells,tierA_p95,9861,493,9368,4.999,9861,493,9368,4.999,True,True,True,True
SPLN43,merged,Stromal,tierA_p95,28755,1439,27316,5.004,28755,1439,27316,5.004,True,True,True,True
SPLN43,merged,T/NK cells,tierA_p95,24815,0,24815,0.0,24815,0,24815,0.0,False,False,True,False
SPLN43,merged,B cells,senepy_p95,45873,2292,43581,4.996,45873,2292,43581,4.996,True,True,True,True
SPLN43,merged,Endothelial,senepy_p95,56471,2824,53647,5.001,56471,2824,53647,5.001,True,True,True,True
SPLN43,merged,Mono/Mac/DC,senepy_p95,39078,1273,37805,3.258,25453,1273,24180,5.001,True,True,True,True
SPLN43,merged,Neutrophils,senepy_p95,2688,135,2553,5.022,2688,135,2553,5.022,True,False,False,False
SPLN43,merged,Plasma cells,senepy_p95,9861,493,9368,4.999,9861,493,9368,4.999,True,True,True,True
SPLN43,merged,Stromal,senepy_p95,28755,1439,27316,5.004,28755,1439,27316,5.004,True,True,True,True
SPLN43,merged,T/NK cells,senepy_p95,24815,0,24815,0.0,0,0,0,,False,False,False,False
SPLN43,merged,B cells,tierA_p99,45873,459,45414,1.001,45873,459,45414,1.001,True,True,True,True
SPLN43,merged,Endothelial,tierA_p99,56471,565,55906,1.001,56471,565,55906,1.001,True,True,True,True
SPLN43,merged,Mono/Mac/DC,tierA_p99,39078,392,38686,1.003,39078,392,38686,1.003,True,True,True,True
SPLN43,merged,Neutrophils,tierA_p99,2688,27,2661,1.004,2688,27,2661,1.004,True,False,False,False
SPLN43,merged,Plasma cells,tierA_p99,9861,99,9762,1.004,9861,99,9762,1.004,True,False,True,False
SPLN43,merged,Stromal,tierA_p99,28755,288,28467,1.002,28755,288,28467,1.002,True,True,True,True
SPLN43,merged,T/NK cells,tierA_p99,24815,0,24815,0.0,24815,0,24815,0.0,False,False,True,False
SPLN43,merged,B cells,senepy_p99,45873,458,45415,0.998,45873,458,45415,0.998,False,True,True,False
SPLN43,merged,Endothelial,senepy_p99,56471,565,55906,1.001,56471,565,55906,1.001,True,True,True,True
SPLN43,merged,Mono/Mac/DC,senepy_p99,39078,255,38823,0.653,25453,255,25198,1.002,True,True,True,True
SPLN43,merged,Neutrophils,senepy_p99,2688,27,2661,1.004,2688,27,2661,1.004,True,False,False,False
SPLN43,merged,Plasma cells,senepy_p99,9861,99,9762,1.004,9861,99,9762,1.004,True,False,True,False
SPLN43,merged,Stromal,senepy_p99,28755,288,28467,1.002,28755,288,28467,1.002,True,True,True,True
SPLN43,merged,T/NK cells,senepy_p99,24815,0,24815,0.0,0,0,0,,False,False,False,False
SPLN43,merged,B cells,cdkn1a_pos,45873,827,45046,1.803,45873,827,45046,1.803,True,True,True,True
SPLN43,merged,Endothelial,cdkn1a_pos,56471,703,55768,1.245,56471,703,55768,1.245,True,True,True,True
SPLN43,merged,Mono/Mac/DC,cdkn1a_pos,39078,552,38526,1.413,39078,552,38526,1.413,True,True,True,True
SPLN43,merged,Neutrophils,cdkn1a_pos,2688,13,2675,0.484,2688,13,2675,0.484,False,False,False,False
SPLN43,merged,Plasma cells,cdkn1a_pos,9861,499,9362,5.06,9861,499,9362,5.06,True,True,True,True
SPLN43,merged,Stromal,cdkn1a_pos,28755,1098,27657,3.818,28755,1098,27657,3.818,True,True,True,True
SPLN43,merged,T/NK cells,cdkn1a_pos,24815,174,24641,0.701,24815,174,24641,0.701,False,False,True,False
SPLN43,merged,B cells,tierApm_p95__downstream_arrest,45873,2294,43579,5.001,45873,2294,43579,5.001,True,True,True,True
SPLN43,merged,Endothelial,tierApm_p95__downstream_arrest,56471,2824,53647,5.001,56471,2824,53647,5.001,True,True,True,True
